
DisplayName                                                                                  DisplayVersion   Publisher
IntelliTraceProfilerProxy                                                                    15.0.21225.01    Micros...
IntelliTraceProfilerProxy                                                                    15.0.21225.01    Micros...
Iperius Backup versión 8.3.4.0                                                               8.3.4.0          Enter Srl
Java 8 Update 491 (64-bit)                                                                   8.0.4910.10      Oracle...
Java(TM) SE Development Kit 23.0.2 (64-bit)                                                  23.0.2.0         Oracle...
Java(TM) SE Development Kit 25.0.2 (64-bit)                                                  25.0.2.0         Oracle...
JetBrains ETW Host Service (x64)                                                             16.45.0          JetBra...
JetBrains Rider 2026.1.2                                                                     261.24374.190    JetBra...
Kaspersky Small Office Security                                                              21.25.7.504      Kaspersky
Kaspersky Small Office Security                                                              21.25.7.504      Kaspersky
Kits Configuration Installer                                                                 10.1.26100.8249  Microsoft
LST PCSOFT                                                                                                    PC SOFT  
Microsoft .NET 10.0 Templates 10.0.301 x64                                                   40.11.22621      Micros...
Microsoft .NET 5.0 Templates 8.0.200 (x64)                                                   20.7.64557       Micros...
Microsoft .NET 6.0 Templates 6.0.428 (x64)                                                   24.9.28115       Micros...
Microsoft .NET 7.0 Templates 7.0.410 (x64)                                                   28.13.2919       Micros...
Microsoft .NET 8.0 Templates 8.0.422 (x64)                                                   32.15.6107       Micros...
Microsoft .NET 9.0 Templates 9.0.315 (x64)                                                   36.15.22400      Micros...
Microsoft .NET AppHost Pack - 10.0.9 (x64)                                                   80.36.53633      Micros...
Microsoft .NET AppHost Pack - 10.0.9 (x64_arm64)                                             80.36.53633      Micros...
Microsoft .NET AppHost Pack - 10.0.9 (x64_x86)                                               80.36.53633      Micros...
Microsoft .NET AppHost Pack - 5.0.17 (x64)                                                   40.68.31213      Micros...
Microsoft .NET AppHost Pack - 5.0.17 (x64_arm)                                               40.68.31213      Micros...
Microsoft .NET AppHost Pack - 5.0.17 (x64_arm64)                                             40.68.31213      Micros...
Microsoft .NET AppHost Pack - 5.0.17 (x64_x86)                                               40.68.31213      Micros...
Microsoft .NET AppHost Pack - 6.0.36 (x64)                                                   48.144.23141     Micros...
Microsoft .NET AppHost Pack - 6.0.36 (x64_arm)                                               48.144.23141     Micros...
Microsoft .NET AppHost Pack - 6.0.36 (x64_arm64)                                             48.144.23141     Micros...
Microsoft .NET AppHost Pack - 6.0.36 (x64_x86)                                               48.144.23141     Micros...
Microsoft .NET AppHost Pack - 7.0.20 (x64)                                                   56.80.15184      Micros...
Microsoft .NET AppHost Pack - 7.0.20 (x64_arm)                                               56.80.15184      Micros...
Microsoft .NET AppHost Pack - 7.0.20 (x64_arm64)                                             56.80.15184      Micros...
Microsoft .NET AppHost Pack - 7.0.20 (x64_x86)                                               56.80.15184      Micros...
Microsoft .NET AppHost Pack - 8.0.28 (x64)                                                   64.112.53549     Micros...
Microsoft .NET AppHost Pack - 8.0.28 (x64_arm64)                                             64.112.53549     Micros...
Microsoft .NET AppHost Pack - 8.0.28 (x64_x86)                                               64.112.53549     Micros...
Microsoft .NET AppHost Pack - 9.0.17 (x64)                                                   72.68.53536      Micros...
Microsoft .NET AppHost Pack - 9.0.17 (x64_arm64)                                             72.68.53536      Micros...
Microsoft .NET AppHost Pack - 9.0.17 (x64_x86)                                               72.68.53536      Micros...
Microsoft .NET Core 3.1 Templates 8.0.200 (x64)                                              12.31.64557      Micros...
Microsoft .NET Core 5.0 Templates 5.0.408 (x64)                                              20.4.59784       Micros...
Microsoft .NET Core AppHost Pack - 3.1.32 (x64)                                              24.192.31915     Micros...
Microsoft .NET Core AppHost Pack - 3.1.32 (x64_arm)                                          24.192.31915     Micros...
Microsoft .NET Core AppHost Pack - 3.1.32 (x64_arm64)                                        24.192.31915     Micros...
Microsoft .NET Core AppHost Pack - 3.1.32 (x64_x86)                                          24.192.31915     Micros...
Microsoft .NET Core Runtime - 3.1.32 (x64)                                                   24.192.31915     Micros...
Microsoft .NET Core Runtime - 3.1.32 (x86)                                                   24.192.31915     Micros...
Microsoft .NET Core Targeting Pack - 3.1.0 (x64)                                             24.64.28315      Micros...
Microsoft .NET CoreRuntime For CoreCon                                                       1.0.0.0          Micros...
Microsoft .NET CoreRuntime SDK                                                               1.1.27004.0      Micros...
Microsoft .NET Framework 4.7.2 Targeting Pack                                                4.7.03062        Micros...
Microsoft .NET Framework 4.8 SDK                                                             4.8.03928        Micros...
Microsoft .NET Framework 4.8 SDK (español)                                                   4.8.03761        Micros...
Microsoft .NET Framework 4.8 Targeting Pack                                                  4.8.03761        Micros...
Microsoft .NET Framework 4.8.1 SDK                                                           4.8.09032        Micros...
Microsoft .NET Framework 4.8.1 Targeting Pack                                                4.8.09032        Micros...
Microsoft .NET Host - 10.0.9 (x64)                                                           80.36.53633      Micros...
Microsoft .NET Host - 10.0.9 (x86)                                                           80.36.53633      Micros...
Microsoft .NET Host - 5.0.17 (x64)                                                           40.68.31213      Micros...
Microsoft .NET Host - 6.0.36 (x64)                                                           48.144.23141     Micros...
Microsoft .NET Host - 7.0.12 (x86)                                                           56.48.2548       Micros...
Microsoft .NET Host - 7.0.20 (x64)                                                           56.80.15184      Micros...
Microsoft .NET Host - 8.0.28 (x64)                                                           64.112.53549     Micros...
Microsoft .NET Host - 9.0.17 (x64)                                                           72.68.53536      Micros...
Microsoft .NET Host - 9.0.17 (x86)                                                           72.68.53536      Micros...
Microsoft .NET Host FX Resolver - 10.0.9 (x64)                                               80.36.53633      Micros...
Microsoft .NET Host FX Resolver - 10.0.9 (x86)                                               80.36.53633      Micros...
Microsoft .NET Host FX Resolver - 5.0.17 (x64)                                               40.68.31213      Micros...
Microsoft .NET Host FX Resolver - 6.0.36 (x64)                                               48.144.23141     Micros...
Microsoft .NET Host FX Resolver - 7.0.12 (x86)                                               56.48.2548       Micros...
Microsoft .NET Host FX Resolver - 7.0.20 (x64)                                               56.80.15184      Micros...
Microsoft .NET Host FX Resolver - 8.0.28 (x64)                                               64.112.53549     Micros...
Microsoft .NET Host FX Resolver - 9.0.17 (x64)                                               72.68.53536      Micros...
Microsoft .NET Host FX Resolver - 9.0.17 (x86)                                               72.68.53536      Micros...
Microsoft .NET Native SDK                                                                    15.0.24211.07    Micros...
Microsoft .NET Runtime - 10.0.9 (x64)                                                        80.36.53633      Micros...
Microsoft .NET Runtime - 10.0.9 (x86)                                                        80.36.53633      Micros...
Microsoft .NET Runtime - 5.0.17 (x64)                                                        40.68.31213      Micros...
Microsoft .NET Runtime - 5.0.17 (x86)                                                        40.68.31213      Micros...
Microsoft .NET Runtime - 6.0.36 (x64)                                                        6.0.36.34214     Micros...
Microsoft .NET Runtime - 6.0.36 (x64)                                                        48.144.23141     Micros...
Microsoft .NET Runtime - 6.0.36 (x86)                                                        48.144.23141     Micros...
Microsoft .NET Runtime - 7.0.12 (x86)                                                        56.48.2548       Micros...
Microsoft .NET Runtime - 7.0.20 (x64)                                                        56.80.15184      Micros...
Microsoft .NET Runtime - 8.0.28 (x64)                                                        64.112.53549     Micros...
Microsoft .NET Runtime - 8.0.28 (x86)                                                        64.112.53549     Micros...
Microsoft .NET Runtime - 9.0.17 (x64)                                                        72.68.53536      Micros...
Microsoft .NET Runtime - 9.0.17 (x86)                                                        72.68.53536      Micros...
Microsoft .NET SDK 10.0.301 (x64) from Visual Studio                                         40.11.22621      Micros...
Microsoft .NET SDK 5.0.408 (x64)                                                             5.4.822.21928    Micros...
Microsoft .NET SDK 6.0.428 (x64)                                                             6.4.2824.52403   Micros...
Microsoft .NET SDK 7.0.410 (x64)                                                             7.4.1024.27207   Micros...
Microsoft .NET SDK 8.0.422 (x64)                                                             8.4.2226.27003   Micros...
Microsoft .NET SDK 9.0.315 (x64) from Visual Studio                                          9.3.1526.26912   Micros...
Microsoft .NET Standard Targeting Pack - 2.1.0 (x64)                                         24.0.28113       Micros...
